#-*-sh-*-
# 
# H1 HERA-II polarized data
# 

##########################################################
#  General parameters of this dataset 
##########################################################
AlposName                       "bla-33"  # A unique alpos name 
Description                    	"NC e-p RH HERA II"
Reference                       "JHEP 09 (2012) 061, arXiv:1206.7007"  #


########################################################## 
#  Theory function settings 
##########################################################  
TheoryFunction                   QcdnumDISCS


########################################################## 
#  theory parameters, specific to this dataset 
#  not specified parameters are taken from default as
#  specified in the global steering file                                      
##########################################################          
sqrt-s                           318.       # sqrt-s only needed if y is not given in table
e-charge                         -1.
#e-polarity                       0.360315
e-polarity                       polEmRH
IsReducedCS                      true
IsNC                             true

PolErrUnc                        2.68
PolErrCurrLPol                   0.55   
PolErrCorrTPol                   0.58

##########################################################          
#
#   Data table
#
##########################################################          

#   ColumnName = 'Q2','x', 'y','x-section','stat',2*'ignore', 'uncor',3*'ignore', 'E3','T4','H3','N2','ignore', 'B2',3*'ignore', 13*'ignore','LUMI_HERAII_beta_500', 'L11'
Data {{
    Q2         x       y   Sigma         stat     sys     tot     unc   uncE+ uncHaE+    corr  corE+  corTh+ corHaE+ corNoi+ corHTh+ corBkg+ uncEId+ unTrig+ corChA+ uncVtx+   QEDr+     Ndat      Nmc    Nbg  DWrCh  NPhot MCstat    dmc         theo    acc    pur   stab  lumi L11
  20000  0.250000  0.7876 0.20193       34.11    2.74   34.22    2.68    1.19    0.08    0.57    0.53   -0.18    0.02    0.08    0.00   -0.07    1.00    0.57   -0.00    1.00    1.16      9.0     16.4    0.2    0.0    0.0   1.03  0.537   3.6931e-01   70.2   83.7   82.8  2.3 1.5
  20000  0.400000  0.4923 0.226383      24.30    4.79   24.77    4.72    3.73    0.02    0.82    0.81    0.10    0.01    0.02   -0.00   -0.00    1.00    0.57   -0.00    1.00    1.95     17.0     12.0    0.0    0.0    0.0   1.12  1.412   1.5753e-01   81.2   81.9   78.7  2.3 1.5
  20000  0.650000  0.3029 0.0132269     70.89   15.67   72.61   14.87   14.40    0.00    4.95    4.11    2.76    0.00    0.00    0.00   -0.00    1.00    0.57   -0.00    1.00    2.00      2.0      2.3    0.0    0.0    0.0   2.55  0.872   1.4903e-02   94.2   67.4   74.6  2.3 1.5
  30000  0.400000  0.7384 0.259926      43.40    6.64   43.91    6.07    3.07    0.11    2.69    1.09   -0.53    0.02    0.06    0.00   -2.40    1.00    0.57   -0.00    1.00    1.96      6.0      4.0    0.4    0.0    0.3   4.50  1.403   1.8205e-01   70.4   88.1   86.6  2.3 1.5
  30000  0.650000  0.4544 0.0392307     57.81   11.14   58.87   10.51    9.70    0.00    3.70    3.26    1.74    0.00    0.00    0.00   -0.00    1.00    0.57   -0.00    1.00    2.00      3.0      1.3    0.0    0.0    0.0   3.01  2.361   1.6325e-02   90.3   78.9   81.6  2.3 1.5
    150  0.008000  0.1846 0.952522       1.78    2.27    2.88    1.85   -1.35   -0.86    1.31   -0.86   -0.86   -0.30   -0.38   -0.00   -0.06    0.20    0.57   -0.00    0.20    0.30   3356.0   3295.0    9.4    0.0    6.3   0.57  1.016   9.2124e-01   39.7   42.2   50.9  2.3 1.5
    150  0.013000  0.1136 0.783259       2.42    3.47    4.23    2.90   -2.48   -1.06    1.90   -1.43   -0.96   -0.33   -0.74   -0.00   -0.10    0.20    0.57   -0.00    0.20    0.30   1722.0   1740.0    7.7    0.0    6.1   0.79  0.985   7.8093e-01   23.2   32.8   46.2  2.3 1.5
    200  0.013000  0.1515 0.792849       1.67    1.17    2.04    0.89    0.08    0.05    0.76   -0.09   -0.41   -0.07    0.62   -0.00   -0.03    0.20    0.57   -0.00    0.20    0.31   3778.0   3887.3    6.9    0.0    3.4   0.50  0.970   8.0283e-01   77.7   49.9   51.2  2.3 1.5
    200  0.020000  0.0985 0.690214       1.81    1.29    2.22    1.05   -0.52   -0.04    0.75   -0.43   -0.46   -0.04    0.40    0.00   -0.01    0.20    0.57   -0.00    0.20    0.30   3217.0   3270.9    3.5    0.0    1.2   0.54  0.982   6.9012e-01   73.2   48.9   53.9  2.3 1.5
    200  0.032000  0.0615 0.562313       2.12    1.70    2.72    1.36   -0.79   -0.57    1.01   -0.39   -0.91   -0.18   -0.12   -0.00   -0.01    0.20    0.57   -0.00    0.20    0.31   2393.0   2536.4    2.7    0.0    0.9   0.61  0.942   5.8612e-01   64.5   49.0   54.2  2.3 1.5
    200  0.050000  0.0394 0.53164        2.48    2.30    3.39    1.78   -1.44    0.08    1.47   -0.81   -0.48   -0.10    1.13   -0.00   -0.00    0.20    0.57   -0.00    0.20    0.35   1929.0   1861.5    1.1    0.0    0.0   0.71  1.036   5.0425e-01   55.2   47.6   50.3  2.3 1.5
    200  0.080000  0.0246 0.430278       2.51    3.04    3.94    2.30   -2.01    0.20    1.99   -1.18   -0.53   -0.12    1.50   -0.00   -0.00    0.20    0.57   -0.00    0.20    0.45   1586.0   1622.8    0.8    0.0    0.0   0.74  0.977   4.3270e-01   54.7   45.6   51.5  2.3 1.5
    200  0.130000  0.0151 0.361156       2.84    2.69    3.91    2.21   -1.32   -1.14    1.52   -0.84   -0.88   -0.30   -0.86    0.00   -0.00    0.20    0.57   -0.00    0.20    0.88   1326.0   1375.7    0.6    0.0    0.0   0.80  0.963   3.6822e-01   46.4   50.2   50.9  2.3 1.5
