#-*-sh-*-
# 
# H1 HERA-I+HERA-II diffractive DIS data
# 

##########################################################
#  General parameters of this dataset 
##########################################################
AlposName                       "H1-DDIS-HERAII-FPS-4D"  # A unique alpos name 
#  15.3  0.0562  0.0160  0.0  0.4  2.7 -0.4  0.0 -0.8  5.1  5.2  0.8  0.5 -1.3 -1.6  0.2  
#  15.3  0.0562  0.0160  0.0  0.4  2.7 -0.4  0.0 -0.8  5.1  5.2  0.8  0.5 -1.3 -1.6  0.2  
#  15.3  0.0562  0.0250  0.0  0.5  1.8 -0.3  0.0  0.8  1.8  6.5  1.4  0.4 -1.0 -0.9  0.2  
#  15.3  0.0562  0.0250  0.0  0.5  1.8 -0.3  0.0  0.8  1.8  6.5  1.4  0.4 -1.0 -0.9  0.2  
#  15.3  0.0562  0.0250  0.0  0.5  1.8 -0.3  0.0  0.8  1.8  6.5  1.4  0.4 -1.0 -0.9  0.2  
#  15.3  0.0562  0.0350  0.0 -1.3  2.1 -0.3  0.0  0.6  1.3  4.8  3.5  0.4 -1.0 -0.8  0.3  
#  15.3  0.0562  0.0350  0.0 -1.3  2.1 -0.3  0.0  0.6  1.3  4.8  3.5  0.4 -1.0 -0.8  0.3  
#  15.3  0.0562  0.0350  0.0 -1.3  2.1 -0.3  0.0  0.6  1.3  4.8  3.5  0.4 -1.0 -0.8  0.3  
#  15.3  0.0562  0.0500  0.0 -0.3  1.5 -0.3  0.1 -1.6  0.3  5.1  3.5  0.1 -0.7 -0.3  0.3  
#  15.3  0.0562  0.0500  0.0 -0.3  1.5 -0.3  0.1 -1.6  0.3  5.1  3.5  0.1 -0.7 -0.3  0.3  
#  15.3  0.0562  0.0500  0.0 -0.3  1.5 -0.3  0.1 -1.6  0.3  5.1  3.5  0.1 -0.7 -0.3  0.3  
#  15.3  0.0562  0.0750  0.0 -1.3  3.3  0.5  0.1 -1.9 -0.6  3.9  4.4  0.0 -0.6 -1.8  0.3  
#  15.3  0.0562  0.0750  0.0 -1.3  3.3  0.5  0.1 -1.9 -0.6  3.9  4.4  0.0 -0.6 -1.8  0.3  
#  15.3  0.0562  0.0750  0.0 -1.3  3.3  0.5  0.1 -1.9 -0.6  3.9  4.4  0.0 -0.6 -1.8  0.3  
#  15.3  0.1780  0.0025 -2.8 -0.5  2.0 -0.3 -0.7 -0.4 -5.5  5.2  1.0  0.4 -0.9 -3.7  1.2  
#  15.3  0.1780  0.0025 -2.8 -0.5  2.0 -0.3 -0.7 -0.4 -5.5  5.2  1.0  0.4 -0.9 -3.7  1.2  
#  15.3  0.1780  0.0025 -2.8 -0.5  2.0 -0.3 -0.7 -0.4 -5.5  5.2  1.0  0.4 -0.9 -3.7  1.2  
