#-*-sh-*-
# 
# H1 HERA-II polarized data
# 

##########################################################
#  General parameters of this dataset 
##########################################################
AlposName                       "bla-33"  # A unique alpos name 
Description                    	"H1 Low Ep : 460, 575 GeV"
Reference                       "EPJ C71 (2011) 1579 [arxiv:1012.4355]" # used in: "JHEP 09 (2012) 061, arXiv:1206.7007"  #
arXiv                           1012.4355
Inspire                         882470
Title                           "Measurement of the Inclusive ep^{+-} Scattering Cross Section at High Inelasticity y and of the Structure Function FL"
Table                           "d10-228.syst_460_575.txt"

########################################################## 
#  Theory function settings 
#
#  theory parameters, specific to this dataset 
#  not specified parameters are taken from default as
#  specified in the global steering file                                      
##########################################################          
# TheoryFunction                   QcdnumDISCS
#sqrt-s                           252. and 225       # sqrt-s only needed if y is not given in table
e-charge                         +1.
e-polarity                       0.
IsReducedCS                      true
IsNC                             true


##########################################################          
#
#   Data table
#
##########################################################          

#   ColumnName = 'x','Q2','y','reduced x-section','stat', 'uncor', 'ignore','h1_low_ep_sp_1','h1_low_ep_sp_2','h1_low_ep_sp_3','h1_low_ep_sp_4','h1_low_ep_sp_5','h1_low_ep_sp_6','h1_low_ep_sp_7','h1_low_ep_sp_8','corlum'
#   SystematicType = 'stat', 'uncor', 'ignore','h1_low_ep_sp_1','h1_low_ep_sp_2','h1_low_ep_sp_3','h1_low_ep_sp_4','h1_low_ep_sp_5','h1_low_ep_sp_6','h1_low_ep_sp_7','h1_low_ep_sp_8','corlum'
#   Percent = 3*false, 9*true

DataHERAFitter {{
"x"           "Q2"          "y"           "Sigma"       "stat"TOT        "uncor"TOT       "ignore"TOT  "h1_low_ep_sp_1"  "h1_low_ep_sp_2"  "h1_low_ep_sp_3"  "h1_low_ep_sp_4"  "h1_low_ep_sp_5"  "h1_low_ep_sp_6"  "h1_low_ep_sp_7"  "h1_low_ep_sp_8"  "ycorlum"
0.1591000E-02 0.2500000E+02 0.2479821E+00 0.1105635E+01 0.1023159E-01 0.1466461E-01 0.3693511E-01 0.0000 0.0000 1.0158 -1.1979 2.3475 -0.7419 0.1205 -0.0375 0.5
0.2466000E-02 0.2500000E+02 0.1599917E+00 0.1001309E+01 0.9503835E-02 0.1337837E-01 0.3497833E-01 0.0000 0.0000 1.0133 -1.1995 2.3611 -1.2059 0.1440 -0.0350 0.5
0.4110000E-02 0.2500000E+02 0.9599502E-01 0.8676859E+00 0.1057685E-01 0.1273252E-01 0.3112670E-01 0.0000 0.0000 1.0144 -1.2006 2.3629 -1.0759 -0.0561 -0.1230 0.5
0.9206000E-03 0.3500000E+02 0.7499937E+00 0.1109701E+01 0.4254167E-01 0.3684222E-01 0.6666334E-01 0.0922 0.1775 1.0471 -1.6759 2.1074 -0.6388 1.2091 -0.3351 0.5
0.1062000E-02 0.3500000E+02 0.6501358E+00 0.1227854E+01 0.2734827E-01 0.3069653E-01 0.5598150E-01 0.0369 0.0710 1.0402 -1.4016 2.2553 -1.1144 0.2879 -0.3351 0.5
0.1409000E-02 0.3500000E+02 0.4900243E+00 0.1198304E+01 0.1364300E-01 0.2240842E-01 0.4440646E-01 0.1775 -0.0922 1.0609 -1.4182 2.2345 -0.7976 0.1437 -0.3359 0.5
0.2227000E-02 0.3500000E+02 0.2480267E+00 0.1099877E+01 0.1074344E-01 0.1474139E-01 0.3677616E-01 0.0000 0.0000 1.0163 -1.1982 2.3475 -0.6632 -0.0922 -0.0455 0.5
0.3452000E-02 0.3500000E+02 0.1600103E+00 0.9774860E+00 0.1043190E-01 0.1331255E-01 0.3322846E-01 0.0000 0.0000 1.0139 -1.1993 2.3558 -0.6548 -0.3393 -0.0453 0.5
0.5754000E-02 0.3500000E+02 0.9599503E-01 0.8487052E+00 0.1156991E-01 0.1291553E-01 0.3264431E-01 0.0000 0.0000 1.0143 -1.2012 2.3673 -1.4678 0.6104 -0.1310 0.5
0.1366000E-02 0.4500000E+02 0.6498638E+00 0.1261198E+01 0.3942322E-01 0.3581829E-01 0.6471616E-01 0.0323 0.0621 1.0408 -1.4010 2.2474 -0.3641 -0.3815 -0.3373 0.5
0.1812000E-02 0.4500000E+02 0.4899084E+00 0.1189032E+01 0.1531724E-01 0.2271064E-01 0.4502580E-01 0.0000 0.0000 1.0783 -1.3838 2.2445 -0.7808 0.4408 -0.3356 0.5
0.2864000E-02 0.4500000E+02 0.2479648E+00 0.1095466E+01 0.1107605E-01 0.1475015E-01 0.3642935E-01 0.0000 0.0000 1.0167 -1.1985 2.3464 -0.4915 -0.0668 -0.0433 0.5
0.4439000E-02 0.4500000E+02 0.1599845E+00 0.9479800E+00 0.1029192E-01 0.1295299E-01 0.3251306E-01 0.0000 0.0000 1.0139 -1.1997 2.3577 -0.8260 0.0822 -0.0478 0.5
0.7398000E-02 0.4500000E+02 0.9599503E-01 0.8115639E+00 0.1148893E-01 0.1249160E-01 0.3086704E-01 0.0000 0.0000 1.0145 -1.2013 2.3651 -1.2549 0.6580 -0.1373 0.5
0.2416000E-02 0.6000000E+02 0.4899084E+00 0.1204348E+01 0.1960240E-01 0.2420753E-01 0.4774694E-01 0.0000 0.0000 1.0445 -1.4130 2.2434 -0.7021 0.5498 -0.3357 0.5
0.3818000E-02 0.6000000E+02 0.2480081E+00 0.1032414E+01 0.1198705E-01 0.1426418E-01 0.3497956E-01 0.0000 0.0000 1.0123 -1.1972 2.3494 -0.4626 -0.1688 -0.0470 0.5
0.5918000E-02 0.6000000E+02 0.1600025E+00 0.9566522E+00 0.1128851E-01 0.1338708E-01 0.3280688E-01 0.0000 0.0000 1.0141 -1.1996 2.3557 -0.6230 -0.0484 -0.0479 0.5
0.9864000E-02 0.6000000E+02 0.9599503E-01 0.7906702E+00 0.1196596E-01 0.1250155E-01 0.2942433E-01 0.0000 0.0000 1.0148 -1.2010 2.3625 -0.9808 0.1539 -0.1392 0.5
0.3623000E-02 0.9000000E+02 0.4900436E+00 0.1100324E+01 0.3692015E-01 0.2992898E-01 0.5821526E-01 0.0000 0.0000 1.0361 -1.4103 2.2503 -0.8890 0.5529 -0.3353 0.5
0.5727000E-02 0.9000000E+02 0.2480081E+00 0.9543041E+00 0.1360559E-01 0.1380425E-01 0.3343175E-01 0.0000 0.0000 1.0150 -1.2042 2.3452 -0.3858 0.1305 -0.0409 0.5
0.8877000E-02 0.9000000E+02 0.1600025E+00 0.8499802E+00 0.1180726E-01 0.1231230E-01 0.3029381E-01 0.0000 0.0000 1.0142 -1.2000 2.3572 -0.7450 0.3035 -0.0497 0.5
0.1480000E-01 0.9000000E+02 0.9596909E-01 0.7281886E+00 0.1263550E-01 0.1215993E-01 0.2769963E-01 0.0000 0.0000 1.0150 -1.2010 2.3600 -0.7379 0.2454 -0.1523 0.5
0.2790000E-04 0.1500000E+01 0.8484722E+00 0.6605363E+00 0.6189312E-01 0.3263036E-01 0.7681362E-01 1.2581 2.4228 1.2957 -1.6557 1.9980 -0.5831 2.5899 0.3427 0.5
0.3720000E-04 0.2000000E+01 0.8484722E+00 0.7580246E+00 0.4835275E-01 0.3289813E-01 0.6637197E-01 1.0968 2.1122 1.2663 -1.8468 1.9126 -0.5603 1.5409 0.3416 0.5
